id,title,description,availability,condition,price,link,image_link,brand,google_product_category
"54","Baranda: Para camas Sommier","Diseño exclusivo reforzado, especial para sommiers y camas altas.","in stock","new","35000 ARS","https://latarimadecoracion.github.io/?s=54","https://latarimadecoracion.github.io/img/barandas-para-cama/baranda-sommier-clasica/1780602269421-imagen.webp","La Tarima","Furniture"
"41","Baúl de madera de pino","Baúl de madera de pino","in stock","new","68000 ARS","https://latarimadecoracion.github.io/?s=41","https://latarimadecoracion.github.io/img/organizadores/baul-madera-mediano/1782607702562-imagen.webp","La Tarima","Furniture"
"C2","Silla infantil","Productos pensados para fomentar la autonomía de los más pequeños.","in stock","new","15000 ARS","https://latarimadecoracion.github.io/?s=C2","https://latarimadecoracion.github.io/img/sillas-y-sillones/silla-infantil/1780323571344-imagen.webp","La Tarima","Furniture"
"42","Especiero","Fanales, bandejas y complementos artesanales únicos.  Medidas (Alto x Largo x Profundidad)  Calculamos el alto para cada frasco:  30 cm = Frascos de 8 cm de alto 34 cm = Frascos de 11 cm de alto","in stock","new","11000 ARS","https://latarimadecoracion.github.io/?s=42","https://latarimadecoracion.github.io/img/organizadores/especiero/1782487819564-imagen.webp","La Tarima","Furniture"
"E2","Deck cuadrado","Embellece tus espacios exteriores con madera de primera calidad. Utilizamos listones de Pino de 1 pulgada de espesor (22mm aprox)  Si la medida que deseas no esta publicada, no dudes en hacer tu consulta por nuestro canal de wpp","in stock","new","20000 ARS","https://latarimadecoracion.github.io/?s=E2","https://latarimadecoracion.github.io/img/jardin/deck-cuadrado/deckcuadrado.webp","La Tarima","Furniture"
"E1","Deck rectangular","Embellece tus espacios exteriores con madera de primera calidad. Utilizamos listones de Pino de 1 pulgada de espesor (22mm aprox)  Si la medida que deseas no esta publicada, no dudes en hacer tu consulta por nuestro canal de wpp","in stock","new","","https://latarimadecoracion.github.io/?s=E1","https://latarimadecoracion.github.io/img/jardin/deck-rectangular/1780707680810-imagen.webp","La Tarima","Furniture"
"E3","Macetas colgante de eucalipto","Porta maceta colgante de madera. Funciona y decora cualquier ambiente de tu casa.  Calidad Artesanal: Hechos a mano con dedicación y cuidado en cada detalle, asegurando un producto firme y diseñado para durar.  Medidas: Externas: 26 x 26 x 11 cm  Internas: 17 x 17 cm (ideal para macetas de esa medida)  Material: Madera eucalipto de primera (ya está seco).","in stock","new","20000 ARS","https://latarimadecoracion.github.io/?s=E3","https://latarimadecoracion.github.io/img/jardin/macetas-colgante-eucalipto/1786334564549-imagen.webp","La Tarima","Furniture"
"G1","Platons de Madera - Asado","Platons de Madera - Asado","in stock","new","9000 ARS","https://latarimadecoracion.github.io/?s=G1","https://latarimadecoracion.github.io/img/todo-algarrobo/Platos-madera/1782611849956-imagen.webp","La Tarima","Furniture"
"G3","Mate","Mate","in stock","new","9000 ARS","https://latarimadecoracion.github.io/?s=G3","https://latarimadecoracion.github.io/img/todo-algarrobo/Mate/1788927967853-imagen.webp","La Tarima","Furniture"
"G2","Cuencos","Cuencos","in stock","new","","https://latarimadecoracion.github.io/?s=G2","https://latarimadecoracion.github.io/img/todo-algarrobo/Platos - Cuencos/1782610904255-imagen.webp","La Tarima","Furniture"
"46","Mueble Multifunción - Estilo Nórdico","¡Un solo mueble, infinitas posibilidades!  Diseñado bajo un concepto minimalista y funcional, este mueble de pino macizo es ideal para optimizar cualquier rincón de tu hogar. Su estructura robusta y terminación impecable lo convierten en la pieza comodín que te faltaba.  ¿Cómo podés usarlo?  En la entrada: Como banco recibidor para sentarte cómodamente y organizar tus calzados abajo.  En el living: Como mesa ratona o de centro compacta, perfecta para departamentos.  En tu espacio de trabajo: Como mini escritorio bajo o elevador robusto para tu configuración de Home Office.  Como soporte: Ideal para lucir tus plantas, audio o decoración de forma ordenada.  Medidas: 60 cm (Ancho) x 30 cm (Alto) x 45 cm (Profundidad). Hacemos envíos a todo el país. ¡Sumá diseño y practicidad a tu casa!","in stock","new","26000 ARS","https://latarimadecoracion.github.io/?s=46","https://latarimadecoracion.github.io/img/organizadores/Mueble-Multifunción/1780707094761-imagen.webp","La Tarima","Furniture"
"B1","Jenga","Productos pensados para fomentar la autonomía de los más pequeños.","in stock","new","","https://latarimadecoracion.github.io/?s=B1","https://latarimadecoracion.github.io/img/juguetes/jenga/jenga.webp","La Tarima","Furniture"
"43","Verdulero Clasico","Verdulero con estante superior","in stock","new","15000 ARS","https://latarimadecoracion.github.io/?s=43","https://latarimadecoracion.github.io/img/organizadores/estantes-montessori/1.webp","La Tarima","Furniture"
"44","Verdule para Mesada","Soluciones inteligentes para mantener cada rincón en su lugar.","in stock","new","20000 ARS","https://latarimadecoracion.github.io/?s=44","https://latarimadecoracion.github.io/img/organizadores/verdule-para-mesada/1782439355150-imagen.webp","La Tarima","Furniture"
"45","Verdulero Mediano","Soluciones inteligentes para mantener cada rincón en su lugar.","in stock","new","25000 ARS","https://latarimadecoracion.github.io/?s=45","https://latarimadecoracion.github.io/img/organizadores/verdulero-mediano/1780708412753-imagen.webp","La Tarima","Furniture"
"47","Verdulero x3","Soluciones inteligentes para mantener cada rincón en su lugar.","in stock","new","35000 ARS","https://latarimadecoracion.github.io/?s=47","https://latarimadecoracion.github.io/img/organizadores/verdulero-x3/1780708453865-imagen.webp","La Tarima","Furniture"
"48","Esquinero x3","Soluciones inteligentes para mantener cada rincón en su lugar.","in stock","new","40000 ARS","https://latarimadecoracion.github.io/?s=48","https://latarimadecoracion.github.io/img/organizadores/esquinero-x3/Esquinero x3.webp","La Tarima","Furniture"
"E5","Cesto de Basura","Fanales, bandejas y complementos artesanales únicos.","in stock","new","55000 ARS","https://latarimadecoracion.github.io/?s=E5","https://latarimadecoracion.github.io/img/jardin/cesto-de-basura/1783742426725-imagen.webp","La Tarima","Furniture"
"D2","Mesa Plegabe","Mesa Plegabe","in stock","new","","https://latarimadecoracion.github.io/?s=D2","https://latarimadecoracion.github.io/img/mesas-de-madera/mesa-plegabe/1782601058760-imagen.webp","La Tarima","Furniture"
"D3","Mesa Plegable - Redonda","Mesa Plegable - Redonda","in stock","new","","https://latarimadecoracion.github.io/?s=D3","https://latarimadecoracion.github.io/img/mesas-de-madera/mesa-plegable-redonda-chica/1782606636181-imagen.webp","La Tarima","Furniture"
"E4","Fanal","Fanales, bandejas y complementos artesanales únicos.","in stock","new","25000 ARS","https://latarimadecoracion.github.io/?s=E4","https://latarimadecoracion.github.io/img/jardin/fanal/Fanal.webp","La Tarima","Furniture"
"49","Organizador Tribuna X3","Fanales, bandejas y complementos artesanales únicos.","in stock","new","9000 ARS","https://latarimadecoracion.github.io/?s=49","https://latarimadecoracion.github.io/img/organizadores/organizador-tribuna-x3/1780323408539-imagen.webp","La Tarima","Furniture"
"4A","Posa Torta De Madera Torneado Candy Bar","Posa Torta De Madera Torneado Candy Bar 22 Diam X 21 Alto","in stock","new","12500 ARS","https://latarimadecoracion.github.io/?s=4A","https://latarimadecoracion.github.io/img/organizadores/Posa-Tortas/1782622590711-imagen.webp","La Tarima","Furniture"
"55","Baranda: Para camas Sommier - Triple","Diseño exclusivo reforzado, especial para sommiers y camas altas.","in stock","new","45000 ARS","https://latarimadecoracion.github.io/?s=55","https://latarimadecoracion.github.io/img/barandas-para-cama/baranda-para-camas-sommier-triple/1788928739223-imagen.webp","La Tarima","Furniture"
"57","Baranda Fija: Clásica","Máxima estabilidad y seguridad garantizada para toda la familia.","in stock","new","15000 ARS","https://latarimadecoracion.github.io/?s=57","https://latarimadecoracion.github.io/img/barandas-para-cama/baranda-fija-clasica/1780542411484-imagen.webp","La Tarima","Furniture"
"58","Baranda Fija: Montessori","Máxima estabilidad y seguridad garantizada para toda la familia.","in stock","new","15000 ARS","https://latarimadecoracion.github.io/?s=58","https://latarimadecoracion.github.io/img/barandas-para-cama/baranda-montessori/1780542646419-imagen.webp","La Tarima","Furniture"
"59","Baranda Fija: Simple","Máxima estabilidad y seguridad garantizada para toda la familia.","in stock","new","11000 ARS","https://latarimadecoracion.github.io/?s=59","https://latarimadecoracion.github.io/img/barandas-para-cama/baranda-simple/1780542765336-imagen.webp","La Tarima","Furniture"
"53","Baranda: Desmontable Clásica - Triple","Seguridad y comodidad superior para la cama de los más chicos.","in stock","new","35000 ARS","https://latarimadecoracion.github.io/?s=53","https://latarimadecoracion.github.io/img/barandas-para-cama/baranda-desmontable-triple/barandadesmontabletriple.webp","La Tarima","Furniture"
"39","Perchero de pared","Medidas: 3 ganchos: 5 Ganchos: 7 Ganchos:","in stock","new","15000 ARS","https://latarimadecoracion.github.io/?s=39","https://latarimadecoracion.github.io/img/percheros/perchero-pared-doblegancho/1783617272520-imagen.webp","La Tarima","Furniture"
"69","Cortes de madera","Organización creativa y estilo para tus paredes.","in stock","new","","https://latarimadecoracion.github.io/?s=69","https://latarimadecoracion.github.io/img/estantes/estantes/estantes.webp","La Tarima","Furniture"
"21","Vinoteca - 5 Vinos","Cavas y bodegas rústicas de madera.","in stock","new","60000 ARS","https://latarimadecoracion.github.io/?s=21","https://latarimadecoracion.github.io/img/vinotecas-bodegas/chico/1783741139430-imagen.webp","La Tarima","Furniture"
"22","Vinoteca - 9 Vinos","Cavas y bodegas rústicas de madera.","in stock","new","70000 ARS","https://latarimadecoracion.github.io/?s=22","https://latarimadecoracion.github.io/img/vinotecas-bodegas/9-vinos/1783741401314-imagen.webp","La Tarima","Furniture"
"24","Vinoteca - 17 Vinos","Cavas y bodegas rústicas de madera.","in stock","new","90000 ARS","https://latarimadecoracion.github.io/?s=24","https://latarimadecoracion.github.io/img/vinotecas-bodegas/17-vinos/1783741906853-imagen.webp","La Tarima","Furniture"
"23","Vinoteca - 13 Vinos","Cavas y bodegas rústicas de madera.","in stock","new","80000 ARS","https://latarimadecoracion.github.io/?s=23","https://latarimadecoracion.github.io/img/vinotecas-bodegas/13-vinos/1783741654477-imagen.webp","La Tarima","Furniture"
"71","Cuna: Colecho Retro","Cuna: Colecho Retro","in stock","new","","https://latarimadecoracion.github.io/?s=71","https://latarimadecoracion.github.io/img/cunas/Colecho_retro_madera/1783750658828-imagen.webp","La Tarima","Furniture"
"72","Cuna: Corral - Colecho con doble","Corral - Colecho con doble posición de parrilla","in stock","new","","https://latarimadecoracion.github.io/?s=72","https://latarimadecoracion.github.io/img/cunas/Corral-Colecho-con-doble-posicion-de-parrilla/1783750731525-imagen.webp","La Tarima","Furniture"
"73","Cuna: Eco fija - Modelo único","Eco fija - 100 x 50 cm - Modelo único","in stock","new","75000 ARS","https://latarimadecoracion.github.io/?s=73","https://latarimadecoracion.github.io/img/cunas/Eco-fija-100x50cm-Modelo-unico/1783750807676-imagen.webp","La Tarima","Furniture"
"74","Cuna: Eco rebatible","Cuna: Eco rebatible","in stock","new","103500 ARS","https://latarimadecoracion.github.io/?s=74","https://latarimadecoracion.github.io/img/cunas/eco-rebatible/1783750834642-imagen.webp","La Tarima","Furniture"
"75","Cuna: rebatible con cajones","Cuna: rebatible con cajones","in stock","new","","https://latarimadecoracion.github.io/?s=75","https://latarimadecoracion.github.io/img/cunas/cuna-Rebatible-cajones/1783750894115-imagen.webp","La Tarima","Furniture"
"76","Cuna: Romana - Rebatible - Cajones","Cuna: Romana - Rebatible - Cajones","in stock","new","","https://latarimadecoracion.github.io/?s=76","https://latarimadecoracion.github.io/img/cunas/Romana-Rebatible-Cajones/1783750937925-imagen.webp","La Tarima","Furniture"
"77","Cuna: Romana - Rebatible - Cajones - en XX","Cuna: Romana - Rebatible - Cajones - en XX","in stock","new","","https://latarimadecoracion.github.io/?s=77","https://latarimadecoracion.github.io/img/cunas/Romana - Rebatible - Cajones - en XX/1783750962820-imagen.webp","La Tarima","Furniture"
"78","Cuna: Sol - Rebatible - Cajones","Cuna: Sol - Rebatible - Cajones","in stock","new","","https://latarimadecoracion.github.io/?s=78","https://latarimadecoracion.github.io/img/cunas/Sol - Rebatible - Cajones/1783750986939-imagen.webp","La Tarima","Furniture"
"34","Perchero 3 - Rustico","Medidas: 50 x 13 cm","in stock","new","21000 ARS","https://latarimadecoracion.github.io/?s=34","https://latarimadecoracion.github.io/img/percheros/Perchero 3 - Rustico/1784347711326-imagen.webp","La Tarima","Furniture"
"33","Perchero 5 - Rustico","Medidas: 63 x 13 cm","in stock","new","25000 ARS","https://latarimadecoracion.github.io/?s=33","https://latarimadecoracion.github.io/img/percheros/Perchero 5 - Rusctio - campo decorado/1784346979215-imagen.webp","La Tarima","Furniture"
"38","Perchero 6 - Minimalista","Medidas: 60 x 13 cm","in stock","new","17000 ARS","https://latarimadecoracion.github.io/?s=38","https://latarimadecoracion.github.io/img/percheros/perchero-madera-tuvitos/1784390037823-imagen.webp","La Tarima","Furniture"
"37","Perchero 5 - Minimalista","Medidas: 50 x 13 cm","in stock","new","12000 ARS","https://latarimadecoracion.github.io/?s=37","https://latarimadecoracion.github.io/img/percheros/perchero-madera-tuvitos5/1784389644815-imagen.webp","La Tarima","Furniture"
"11","Estante Hexagonal x3","Estante Hexagonal x3","in stock","new","17000 ARS","https://latarimadecoracion.github.io/?s=11","https://latarimadecoracion.github.io/img/logo_provisional.png","La Tarima","Furniture"
"25","Bodega 6 Vinos","Medidas Alto: 40 cm Ancho: 30 cm Profundidad: 23 cm","in stock","new","22500 ARS","https://latarimadecoracion.github.io/?s=25","https://latarimadecoracion.github.io/img/vinotecas-bodegas/bodega-madera-6-rectangular/1784391190209-imagen.webp","La Tarima","Furniture"
"62","Hexagonales","Organización creativa y estilo para tus paredes.","in stock","new","22000 ARS","https://latarimadecoracion.github.io/?s=62","https://latarimadecoracion.github.io/img/estantes/hexagonales/hexagonales.webp","La Tarima","Furniture"
"D4","Mesas para Candy Bar / Mesa nido","Mesas para Candy Bar / Mesa nido","in stock","new","80000 ARS","https://latarimadecoracion.github.io/?s=D4","https://latarimadecoracion.github.io/img/mesas-de-madera/Mesas para Candy Bar/1783813269259-imagen.webp","La Tarima","Furniture"
"79","Pie de cama romano","Pie de cama romano","in stock","new","60000 ARS","https://latarimadecoracion.github.io/?s=79","https://latarimadecoracion.github.io/img/cunas/pie-cama-romano/1786839481815-imagen.webp","La Tarima","Furniture"
"C3","Sillon Gervasoni - Chicos","Sillon Gervasoni - Chicos","in stock","new","36000 ARS","https://latarimadecoracion.github.io/?s=C3","https://latarimadecoracion.github.io/img/sillas-y-sillones/sillon-gervasoni-simple-chico/1783814275891-imagen.webp","La Tarima","Furniture"
"36","Perchero nórdico de pared x3","Perchero nórdico de pared x3","in stock","new","15000 ARS","https://latarimadecoracion.github.io/?s=36","https://latarimadecoracion.github.io/img/percheros/perchero-nordico-pared-x3/1784162163699-imagen.webp","La Tarima","Furniture"
"35","Perchero nórdico de pared x5","Perchero nórdico de pared x5","in stock","new","19000 ARS","https://latarimadecoracion.github.io/?s=35","https://latarimadecoracion.github.io/img/percheros/perchero-nordico-pared-x5/1784163561616-imagen.webp","La Tarima","Furniture"
"56","Baranda: Desmontable con bulones - Especial","Baranda: Desmontable con bulones - Especial","in stock","new","","https://latarimadecoracion.github.io/?s=56","https://latarimadecoracion.github.io/img/barandas-para-cama/baranda-reforzada-geriatricos/1782399630546-imagen.webp","La Tarima","Furniture"
"H2","Podio premiación Profesional","Podios modulares resistentes para eventos y premiaciones.  Módulo 1: 80 x 40 x 50 cm Módulo 2: 80 x 40 x 35 cm Módulo 3: 80 x 40 x 20 cm  Envió gratis a las zonas 1 2 y 3, se puede ver en la ultima foto de la publicación.","in stock","new","250000 ARS","https://latarimadecoracion.github.io/?s=H2","https://latarimadecoracion.github.io/img/podios-de-premiacion/podio-premiacion--3-modulos-/1780774910905-imagen.webp","La Tarima","Furniture"
"4B","Ménsulas para escritorios","Ménsulas para escritorios Ideal para aquellos que buscan un estilo simple y minimalista","in stock","new","9000 ARS","https://latarimadecoracion.github.io/?s=4B","https://latarimadecoracion.github.io/img/organizadores/mensulas/mensulas.webp","La Tarima","Furniture"
"4C","Ménsulas para estantes","Organización creativa y estilo para tus paredes.","in stock","new","4500 ARS","https://latarimadecoracion.github.io/?s=4C","https://latarimadecoracion.github.io/img/organizadores/mensulas/mensulas.webp","La Tarima","Furniture"
"4D","Banco Escalera De Pino 3 Escalones","Banco Escalera De Pino 3 Escalones  Altura Máxima: 60 cm Profundidad: 40 cm Ancho: 35 cm","in stock","new","33000 ARS","https://latarimadecoracion.github.io/?s=4D","https://latarimadecoracion.github.io/img/organizadores/Banco Escalera De Pino 3 Escalones/1786226275337-imagen.webp","La Tarima","Furniture"
